"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","cathmarg","difcro2","rightmar2","diffvotensoc"
"129","1898","134",134,"Conservative",0.225539166715637,4,0.5,0.44913909619792,-0.223599929482282,0,0,0.153254520823357
"130","1903","134",134,"Conservative",0.0481721545242416,5,0.333333333333333,0.351101892662691,-0.30292973813845,0,0,0.224355107752764
"131","1912","134",134,"Liberal",0.00861727852275224,3,0.2,0.359947241151902,-0.351329962629149,0,0,0.259177627315303
"132","1890","135",135,"Liberal",0.0812873258128732,3,0,0.453757465162575,-0.372470139349701,0,0,0.162235765216101
"133","1893","135",135,"Conservative",0.0912102016312674,3,0.5,0.440110959301122,-0.348900757669855,0,0,0.0603353743864444
"134","1898","135",135,"Conservative",0.16670936886156,3,0.5,0.447348193697156,-0.280638824835597,0,0,0.0779753736589553
"135","1903","135",135,"Conservative",0.0964553908408233,3,0.4,0.414264036418816,-0.317808645577993,1,1,0.178849407642606
"136","1907","135",135,"Conservative",0.0958840703553372,3,0.5,0.399131239763583,-0.303247169408246,0,0,0.232258595767606
"137","1912","135",135,"Socialist",0.0114803822445452,3,0,0.362936629594599,-0.351456247350054,0,0,0.20130975017289
"138","1890","136",136,"Liberal",0.00401207172022011,3,0.333333333333333,0.379052014912125,-0.375039943191905,0,0,0.12624353396436
"139","1893","136",136,"Socialist",0.0602422038491887,4,0,0.401934886273972,-0.341692682424783,0,0,0.136228025337813
"140","1898","136",136,"Socialist",0.0681271064034665,3,0,0.468464130958113,-0.400337024554646,0,0,0.0322333075404925
"141","1890","137",137,"Liberal",0.023333612110061,3,0,0.389228067240947,-0.365894455130886,0,0,0.173775563326662
"142","1893","137",137,"Conservative",0.0645216352308612,3,0.666666666666667,0.390799692754118,-0.326278057523257,0,0,0.175945241587999
"143","1898","137",137,"Liberal",0.0219627467333889,3,0,0.350384579742378,-0.328421833008989,1,1,0.218726706140438
"144","1903","137",137,"Liberal",0.0392524826022363,3,0,0.382828993666432,-0.343576511064196,1,1,0.212424906101241
"145","1907","137",137,"Liberal",0.0106680543810577,3,0,0.368308072594809,-0.357640018213751,0,1,0.266207991527533
"146","1912","137",137,"Socialist",0.13619335347432,3,0,0.450876132930514,-0.314682779456193,0,0,0.0736848240559969
"147","1890","139",139,"Liberal",0.00256726227151366,4,0,0.41923392893818,-0.412713082768536,0,0,0.153841528378893
"148","1893","139",139,"Conservative",0.18874980522516,4,0.25,0.443099776658183,-0.145639640575495,0,0,0.182723151832169
"149","1898","139",139,"Conservative",0.145847438501467,3,0.2,0.436865267433988,-0.291017828932521,0,0,0.0999154676737435
"150","1903","139",139,"Conservative",0.0864939234120615,3,0.285714285714286,0.394038064664068,-0.307544141252006,0,0,0.0987952451719207
"151","1907","139",139,"Conservative",0.193890520226147,3,0.333333333333333,0.461980102555112,-0.268089582328965,0,0,0.0937854929080256
"152","1912","139",139,"Conservative",0.136837033467996,3,0.4,0.44394203328268,-0.307104999814684,1,0,0.122874309909512
"153","1890","140",140,"Conservative",0.0544593841992203,5,0.166666666666667,0.401384358341952,-0.319277587715809,0,0,0.132664112059319
"154","1893","140",140,"Socialist",0.049177790675179,4,0,0.408434900367576,-0.336893016057264,0,0,0.158393096654018
"155","1898","140",140,"Socialist",0.0950783813343055,5,0,0.427743346700693,-0.306707983959169,0,0,0.0871850926610823
"156","1903","140",140,"Socialist",0.26027688384237,5,0,0.463294674843646,-0.167709029084947,0,0,0.0318414276878903
"157","1907","140",140,"Socialist",0.083460623513209,3,0,0.428371103042444,-0.344910479529235,0,0,0.127598401781024
"158","1890","142",142,"Liberal",0.139627253284449,4,0.25,0.377329666972197,-0.237702413687748,0,0,0.248430380484425
"159","1893","142",142,"Liberal",0.138671875,4,0.2,0.379734848484849,-0.241062973484848,0,0,0.274662496514397
"160","1898","142",142,"Conservative",0.0225576380826008,5,0.285714285714286,0.244595565876044,-0.222037927793443,1,1,0.351409117279232
"161","1903","142",142,"Socialist",0.0177863654379707,5,0,0.312921125644075,-0.29107213634562,1,1,0.208435788204307
"162","1907","142",142,"Liberal",0.0310662607897919,7,0.25,0.291230557524707,-0.25703682081648,0,1,0.302653123188864
"163","1912","142",142,"Socialist",0.0536153846153846,5,0,0.306807692307692,-0.253192307692308,0,0,0.260083390258084
"164","1893","143",143,"Liberal",0.173140060707427,3,0.4,0.468933903239794,-0.295793842532367,1,1,0.255942828387348
"165","1898","143",143,"Conservative",0.0281535648994515,3,0.6,0.387385740402194,-0.359232175502742,0,0,0.204924677740967
"166","1903","143",143,"Liberal",0.0400671934299757,5,0.142857142857143,0.318795495551546,-0.27872830212157,0,0,0.255680872898193
"167","1903","143",143,"Socialist",0.00946577530615866,4,0,0.340412944447731,-0.328225758741052,1,1,0.201419047389929
"168","1907","143",143,"Liberal",0.183180370855966,4,0.25,0.460151713804083,-0.274957857276644,0,0,0.0627055577357989
"169","1912","143",143,"Liberal",0.00359012067996023,3,0.2,0.351788572170077,-0.348198451490116,1,0,0.242468433729628
"170","1890","144",144,"Liberal",0.10186976144423,4,0.25,0.47632351887671,-0.374453757432481,0,0,0.0532845423678097
"171","1903","144",144,"Liberal",0.00878877400295419,6,0,0.329985228951256,-0.317282127031019,0,0,0.225168478101186
"172","1907","144",144,"Liberal",0.0648840587507398,5,0.166666666666667,0.428417711303599,-0.361704417065691,0,0,0.0814672730606345
"173","1912","144",144,"Liberal",0.0751788822278089,5,0,0.383291432991684,-0.308112550763875,1,1,0.158753767276832
"174","1890","145",145,"Liberal",0.111436527751104,3,0,0.412713654695602,-0.301277126944498,0,0,0.228137595852884
"175","1898","145",145,"Socialist",0.113450659962288,4,0,0.362575199784502,-0.249124539822214,0,0,0.178323125371986
"176","1903","145",145,"Socialist",0.189505604176263,4,0,0.418432366037156,-0.228926761860894,0,0,0.131864762909647
"177","1907","145",145,"Socialist",0.0319973610423883,3,0,0.367408873494969,-0.335411512452581,0,0,0.224088171810349
"178","1912","145",145,"Socialist",0.0338497915499969,4,0,0.378943438491693,-0.345093646941696,0,0,0.494236985680049
"179","1890","146",146,"Socialist",0.101424050632911,3,0,0.428006329113924,-0.326582278481013,0,0,0.0710142953819856
"180","1893","146",146,"Socialist",0.256108631515243,4,0,0.495385430062788,-0.239276798547545,0,0,0.027137400596992
"181","1898","146",146,"Socialist",0.242987377279102,4,0,0.476507713884993,-0.233520336605891,0,0,0.027321887107056
"182","1907","146",146,"Socialist",0.118920412675018,4,0,0.451754789977892,-0.329310980103169,0,0,0.0912222448461628
"183","1912","146",146,"Socialist",0.186044563578489,4,0,0.474032501256492,-0.287987937678003,0,0,0.0400329461313536
"184","1890","147",147,"Socialist",0.0791961061391113,3,0,0.453540587219344,-0.374344481080232,0,0,0.065484435622473
"185","1898","147",147,"Socialist",0.172218103734758,5,0,0.49640839489762,-0.318489736445206,0,0,0.0228393077959294
"186","1907","149",149,"Conservative",0.177656732834023,3,0.5,0.491070025663856,-0.313413292829833,0,0,0.0166834940260034
"187","1912","149",149,"Conservative",0.103148806500762,4,0.4,0.399035043169121,-0.29588623666836,1,0,0.149895940529015
"188","1890","150",150,"Liberal",0.00827101744844777,3,0,0.383186041241786,-0.374915023793338,1,1,0.200081785821662
"189","1893","150",150,"Socialist",0.0477763359679131,3,0,0.385985608116079,-0.338209272148166,0,0,0.166651852769035
"190","1898","150",150,"Conservative",0.0330519678633174,3,0.25,0.445540526797519,-0.412488558934201,1,1,0.085355053961183
"191","1903","150",150,"Socialist",0.0918004421801403,3,0,0.398731135249447,-0.306930693069307,0,0,0.113840841717923
"192","1907","150",150,"Socialist",0.00309488018392434,3,0,0.342116898045804,-0.33902201786188,0,0,0.317386064720624
"193","1912","150",150,"Socialist",0.0400137978613315,5,0,0.328389099689548,-0.288375301828217,0,0,0.305173819148873
"194","1898","151",151,"Liberal",0.0359234160142115,3,0.25,0.472662675175998,-0.436739259161787,1,1,0.0274708076581091
"195","1903","151",151,"Conservative",0.111776555779387,5,0.142857142857143,0.470136658136876,-0.349812163118637,0,0,0.0428953606058027
"196","1907","151",151,"Conservative",0.142564102564103,3,0.333333333333333,0.490897435897436,-0.348333333333333,0,0,0.0122410657737144
"197","1907","151",151,"Liberal",0.093035762301694,4,0.166666666666667,0.377431209106391,-0.284395446804697,0,0,0.204888522843855
"198","1912","151",151,"Liberal",0.135945273631841,3,0.166666666666667,0.472305140961857,-0.336359867330017,0,0,0.147325958327376
"199","1898","152",152,"Liberal",0.288284256690235,5,0.2,0.470151257495749,-0.0913810077866285,0,0,0.130162960886027
"200","1890","154",154,"Minority",0.0421431680582486,5,0.166666666666667,0.420125835938427,-0.377982667880179,1,1,0.10977243229175
"201","1893","154",154,"Minority",0.012853869752631,5,0.166666666666667,0.426119374004893,-0.413265504252262,0,0,0.0755253628372123
"202","1893","154",154,"Minority",0.0791423147079626,5,0.142857142857143,0.439377582548487,-0.360235267840524,1,0,0.0640274353726603
"203","1898","154",154,"Minority",0.0150523560209424,5,0.2,0.432482547993019,-0.417430191972077,1,1,0.0728606497052956
"204","1903","154",154,"Minority",0.118074357789077,4,0.2,0.415142309978208,-0.29706795218913,0,0,0.0760909542739058
"205","1903","154",154,"Minority",0.0412099066179456,3,0.5,0.435884422790635,-0.394674516172689,0,0,0.0604050020702187
"206","1907","154",154,"Liberal",0.0101267287772698,4,0.5,0.402436201608703,0.20508072449511,0,0,0.080060682950037
"207","1912","154",154,"Liberal",0.0429388565309374,6,0,0.333585812416747,0.167132447044689,1,1,0.22472083446289
"208","1890","155",155,"Liberal",0.00660370114412961,4,0.333333333333333,0.434231743837825,-0.427628042693696,0,0,0.0951097325296733
"209","1893","155",155,"Minority",0.0586071184120466,5,0.2,0.456108829568789,-0.397501711156742,0,0,0.063462535217638
"210","1898","155",155,"Minority",0.155718838526912,5,0.166666666666667,0.43820821529745,-0.282489376770538,0,0,0.0662185554108329
"211","1898","155",155,"Liberal",0.0426704455991183,3,0,0.469847268146749,-0.42717682254763,1,1,0.0645208028066883
"212","1903","155",155,"Minority",0.152938621887666,5,0.166666666666667,0.453242617255356,-0.30030399536769,0,0,0.0543406133241754
"213","1907","155",155,"Liberal",0.083207016024253,4,0.2,0.443915114768298,-0.360708098744045,1,1,0.11312060139051
"214","1912","155",155,"Liberal",0.0105562742561449,4,0.166666666666667,0.37391979301423,-0.363363518758085,0,0,0.131897326645159
"215","1890","156",156,"Minority",0.110626163873371,4,0.25,0.39804469273743,-0.28741852886406,0,0,0.414989409970021
"216","1893","156",156,"Minority",0.054217627033161,3,0.333333333333333,0.457571554658933,-0.403353927625772,1,1,0.103672062431106
"217","1898","156",156,"Minority",0.0389770072543957,3,0.166666666666667,0.442456658059757,-0.403479650805361,0,0,0.139601116137504
"218","1903","156",156,"Liberal",0.236638368305836,4,0,0.483261252602915,-0.246622884297079,0,0,0.124787979506877
"219","1907","156",156,"Minority",0.0190685413005273,5,0,0.277548330404218,-0.258479789103691,1,1,0.293249060717179
"220","1912","156",156,"Liberal",0.12699465491007,5,0,0.340252038547072,-0.213257383637002,0,0,0.282986679035121
"221","1893","157",157,"Minority",0.0900200171575636,3,0,0.481727194738347,-0.391707177580784,0,0,0.087420874979848
"222","1898","157",157,"Minority",0.0374322196956446,3,0.25,0.440674013177074,-0.40324179348143,0,0,0.122865116336851
"223","1903","157",157,"Minority",0.206352534199906,4,0.25,0.434247077939095,-0.22789454373919,0,0,0.137079284196293
"224","1912","157",157,"Minority",0.013139371187236,4,0.2,0.316166119192867,-0.303026748005631,0,0,0.22911349596047
"225","1890","158",158,"Socialist",0.177857062591302,5,0,0.443561074278009,-0.265704011686706,0,0,0.12066676175631
"226","1893","158",158,"Socialist",0.22337930387466,5,0,0.458251243080964,-0.234871939206305,0,0,0.111351323675401
"227","1890","159",159,"Liberal",0.0211642705632807,4,0.4,0.358425642234268,-0.337261371670988,0,0,0.204744249613057
"228","1893","159",159,"Liberal",0.0696676879566345,5,0,0.39693613009663,-0.327268442139995,1,1,0.16202488383041
"229","1898","159",159,"Socialist",0.0643328445747801,5,0,0.362674120234604,-0.298341275659824,0,0,0.152322894142319
"230","1903","159",159,"Socialist",0.097870582491456,4,0,0.382994704623127,-0.285124122131671,0,0,0.182606593441097
"231","1903","159",159,"Socialist",0.0200054383715962,4,0,0.338072485724275,-0.318067047352678,0,0,0.237658355996863
"232","1907","159",159,"Socialist",0.0532752319370256,4,0,0.389513635085746,-0.336238403148721,0,0,0.162250747723535
